paragraph_key,chapter,paragraph_id,quote,characters_involved,clue_category,semantic_score,scene_cluster
20:3,20,3,"Rosa’s mind throughout the last six months had been stormily confused. A half-formed, wholly unexpressed suspicion tossed in it, now heaving itself up, and now sinking into the deep; now gaining palpability, and now losing it. Jasper’s self-absorption in his nephew when he was alive, and his unceasing pursuit of the inquiry how he came by his death, if he were dead, were themes so rife in the place, that no one appeared able to suspect the possibility of foul play at his hands. She had asked herself the question, “Am I so wicked in my thoughts as to conceive a wickedness that others cannot imagine?” Then she had considered, Did the suspicion come of her previous recoiling from him before the",Rosa Bud; John Jasper,behavior_after_disappearance,0.5648,0
4:35,4,35,"Mr. Jasper complying, sees and reads as follows:",John Jasper,behavior_after_disappearance,0.542,4
12:53,12,53,"The echoes were favourable at those points, but as the two approach, the sound of their talking becomes confused again. The word “confidence,” shattered by the echoes, but still capable of being pieced together, is uttered by Mr. Crisparkle. As they draw still nearer, this fragment of a reply is heard: “Not deserved yet, but shall be, sir.” As they turn away again, Jasper again hears his own name, in connection with the words from Mr. Crisparkle: “Remember that I said I answered for you confidently.” Then the sound of their talk becomes confused again; they halting for a little while, and some earnest action on the part of Neville succeeding. When they move once more, Mr. Crisparkle is seen ",Mr. Crisparkle; John Jasper; Neville Landless,behavior_after_disappearance,0.542,1
12:50,12,50,"Durdles nods assent, and falls to munching some fragments from his bundle. Jasper folds his arms upon the top of the wall, and, with his chin resting on them, watches. He takes no note whatever of the Minor Canon, but watches Neville, as though his eye were at the trigger of a loaded rifle, and he had covered him, and were going to fire. A sense of destructive power is so expressed in his face, that even Durdles pauses in his munching, and looks at him, with an unmunched something in his cheek.",Durdles; John Jasper; Neville Landless,behavior_after_disappearance,0.5415,6
16:20,16,20,"“When I had, and could have, no suspicion,” pursued Jasper, eagerly following the new track, “that the dear lost boy had withheld anything from me—most of all, such a leading matter as this—what gleam of light was there for me in the whole black sky? When I supposed that his intended wife was here, and his marriage close at hand, how could I entertain the possibility of his voluntarily leaving this place, in a manner that would be so unaccountable, capricious, and cruel? But now that I know what you have told me, is there no little chink through which day pierces? Supposing him to have disappeared of his own act, is not his disappearance more accountable and less cruel? The fact of his havin",John Jasper,behavior_after_disappearance,0.539,0
7:44,7,44,"“Never, Mr. Neville. He comes here visiting his relation, Mr. Jasper.”",Neville Landless; John Jasper,behavior_after_disappearance,0.5389,4
14:94,14,94,"“Why, naturally,” returns Jasper. “You had but little reason to hope that I should become more like yourself. You are always training yourself to be, mind and body, as clear as crystal, and you always are, and never change; whereas I am a muddy, solitary, moping weed. However, I have got over that mope. Shall I wait, while you ask if Mr. Neville has left for my place? If not, he and I may walk round together.”",John Jasper; Neville Landless,behavior_after_disappearance,0.5363,5
16:30,16,30,"“_I_ pray to Heaven it may turn out so!” repeated Jasper. “You know—and Mr. Grewgious should now know likewise—that I took a great prepossession against Mr. Neville Landless, arising out of his furious conduct on that first occasion. You know that I came to you, extremely apprehensive, on my dear boy’s behalf, of his mad violence. You know that I even entered in my Diary, and showed the entry to you, that I had dark forebodings against him. Mr. Grewgious ought to be possessed of the whole case. He shall not, through any suppression of mine, be informed of a part of it, and kept in ignorance of another part of it. I wish him to be good enough to understand that the communication he has made t",John Jasper; Neville Landless,behavior_after_disappearance,0.5302,7
15:35,15,35,"The bystanders looked at one another, and at Mr. Crisparkle. To whom Mr. Jasper, who had been intensely watching Neville, said, in a low, distinct, suspicious voice: “What are those stains upon his dress?”",Mr. Crisparkle; John Jasper; Neville Landless,behavior_after_disappearance,0.5293,1
23:2,23,2,"False pretence not being in the Minor Canon’s nature, he doubtless displayed openly that he would at any time have revived the subject, and even desired to discuss it. The determined reticence of Jasper, however, was not to be so approached. Impassive, moody, solitary, resolute, so concentrated on one idea, and on its attendant fixed purpose, that he would share it with no fellow-creature, he lived apart from human life. Constantly exercising an Art which brought him into mechanical harmony with others, and which could not have been pursued unless he and they had been in the nicest mechanical relations and unison, it is curious to consider that the spirit of the man was in moral accordance o",John Jasper,behavior_after_disappearance,0.5272,0
4:32,4,32,"Mr. Jasper says, with an appearance of having fallen into dreadfully low spirits, that he “supposes it was to be.”",John Jasper,behavior_after_disappearance,0.5268,4
13:8,13,8,"So many times had Rosa seen such dispersals, and so very little did she know of any other Home, that she was contented to remain where she was, and was even better contented than ever before, having her latest friend with her. And yet her latest friendship had a blank place in it of which she could not fail to be sensible. Helena Landless, having been a party to her brother’s revelation about Rosa, and having entered into that compact of silence with Mr. Crisparkle, shrank from any allusion to Edwin Drood’s name. Why she so avoided it, was mysterious to Rosa, but she perfectly perceived the fact. But for the fact, she might have relieved her own little perplexed heart of some of its doubts a",Rosa Bud; Edwin Drood; Helena Landless; Mr. Crisparkle,motive_and_obsession,0.5243,5
8:44,8,44,"Jasper sets the example of nearly emptying his glass, and Neville follows it. Edwin Drood says, “Thank you both very much,” and follows the double example.",John Jasper; Neville Landless; Edwin Drood,behavior_after_disappearance,0.5223,5
8:49,8,49,"His speech has become thick and indistinct. Jasper, quiet and self-possessed, looks to Neville, as expecting his answer or comment. When Neville speaks, _his_ speech is also thick and indistinct.",John Jasper; Neville Landless,behavior_after_disappearance,0.5215,5
10:15,10,15,"“But for Mr. Jasper’s well-bred consideration in coming up to me, next day, after service, in the Nave itself, with his gown still on, and expressing his hope that I had not been greatly alarmed or had my rest violently broken, I believe I might never have heard of that disgraceful transaction,” said the old lady.",John Jasper,behavior_after_disappearance,0.5201,4
16:28,16,28,"“I stated to Mr. Sapsea, when we waited on him,” said Jasper: as he really had done: “that there was no quarrel or difference between the two young men at their last meeting. We all know that their first meeting was unfortunately very far from amicable; but all went smoothly and quietly when they were last together at my house. My dear boy was not in his usual spirits; he was depressed—I noticed that—and I am bound henceforth to dwell upon the circumstance the more, now that I know there was a special reason for his being depressed: a reason, moreover, which may possibly have induced him to absent himself.”",John Jasper,behavior_after_disappearance,0.5196,7
15:27,15,27,“You left Mr. Jasper last night with Edwin Drood?”,Edwin Drood; John Jasper,behavior_after_disappearance,0.5189,5
15:46,15,46,"It would be difficult to determine which was the more oppressed with horror and amazement: Neville Landless, or John Jasper. But that Jasper’s position forced him to be active, while Neville’s forced him to be passive, there would have been nothing to choose between them. Each was bowed down and broken.",John Jasper; Neville Landless,behavior_after_disappearance,0.5148,5
14:36,14,36,"Edwin Drood passes a solitary day. Something of deeper moment than he had thought, has gone out of his life; and in the silence of his own chamber he wept for it last night. Though the image of Miss Landless still hovers in the background of his mind, the pretty little affectionate creature, so much firmer and wiser than he had supposed, occupies its stronghold. It is with some misgiving of his own unworthiness that he thinks of her, and of what they might have been to one another, if he had been more in earnest some time ago; if he had set a higher value on her; if, instead of accepting his lot in life as an inheritance of course, he had studied the right way to its appreciation and enhance",Edwin Drood,survival_and_disguise,0.5135,5
13:18,13,18,"“And there is no fear,” pursued Rosa, “of our quarrelling, is there? Because, Eddy,” clasping her hand on his arm, “we have so much reason to be very lenient to each other!”",Rosa Bud,motive_and_obsession,0.5128,0
12:51,12,51,"Meanwhile Mr. Crisparkle and Neville walk to and fro, quietly talking together. What they say, cannot be heard consecutively; but Mr. Jasper has already distinguished his own name more than once.",Neville Landless; Mr. Crisparkle; John Jasper,behavior_after_disappearance,0.5118,1
22:23,22,23,"“I thank him very much,” said Helena, when Rosa emerged again with her report. “Ask him whether it would be best to wait until any more maligning and pursuing of Neville on the part of this wretch shall disclose itself, or to try to anticipate it: I mean, so far as to find out whether any such goes on darkly about us?”",Rosa Bud; Neville Landless; Helena Landless,behavior_after_disappearance,0.5103,7
15:43,15,43,"They set forth on the walk back; and the others, with one exception, straggled after them at various distances. Jasper walked on the other side of Neville, and never quitted that position. He was silent, while Mr. Crisparkle more than once repeated his former questions, and while Neville repeated his former answers; also, while they both hazarded some explanatory conjectures. He was obstinately silent, because Mr. Crisparkle’s manner directly appealed to him to take some part in the discussion, and no appeal would move his fixed face. When they drew near to the city, and it was suggested by the Minor Canon that they might do well in calling on the Mayor at once, he assented with a stern nod;",John Jasper; Neville Landless; Mr. Crisparkle,behavior_after_disappearance,0.5096,1
7:55,7,55,"Jasper brought down his hands, looked over his shoulder, and begged to thank Miss Landless for her vindication of his character. Then he fell to dumbly playing, without striking the notes, while his little pupil was taken to an open window for air, and was otherwise petted and restored. When she was brought back, his place was empty. “Jack’s gone, Pussy,” Edwin told her. “I am more than half afraid he didn’t like to be charged with being the Monster who had frightened you.” But she answered never a word, and shivered, as if they had made her a little too cold.",John Jasper; Edwin Drood,behavior_after_disappearance,0.5096,0
8:47,8,47,"“See how little he heeds it all!” Jasper proceeds in a bantering vein. “It is hardly worth his while to pluck the golden fruit that hangs ripe on the tree for him. And yet consider the contrast, Mr. Neville. You and I have no prospect of stirring work and interest, or of change and excitement, or of domestic ease and love. You and I have no prospect (unless you are more fortunate than I am, which may easily be), but the tedious unchanging round of this dull place.”",John Jasper; Neville Landless,behavior_after_disappearance,0.5091,5
8:8,8,8,"Neville has made his remark in a watchfully advancing, and yet furtive and shy manner, very expressive of that peculiar air already noticed, of being at once hunter and hunted. Edwin has made his retort with an abruptness not at all polite. They stop and interchange a rather heated look.",Neville Landless; Edwin Drood,Neville_as_false_suspect,0.5084,5
23:150,23,150,APPENDIX: FRAGMENT OF ‘THE MYSTERY OF EDWIN DROOD’,Edwin Drood,survival_and_disguise,0.5077,5
20:3,20,3,"Rosa’s mind throughout the last six months had been stormily confused. A half-formed, wholly unexpressed suspicion tossed in it, now heaving itself up, and now sinking into the deep; now gaining palpability, and now losing it. Jasper’s self-absorption in his nephew when he was alive, and his unceasing pursuit of the inquiry how he came by his death, if he were dead, were themes so rife in the place, that no one appeared able to suspect the possibility of foul play at his hands. She had asked herself the question, “Am I so wicked in my thoughts as to conceive a wickedness that others cannot imagine?” Then she had considered, Did the suspicion come of her previous recoiling from him before the",Rosa Bud; John Jasper,motive_and_obsession,0.5066,0
3:48,3,48,"Rosa dear does not seem at all clear on this point, until her face, which has been comically reflective, brightens. “O, yes, Eddy; let us go for a walk! And I tell you what we’ll do. You shall pretend that you are engaged to somebody else, and I’ll pretend that I am not engaged to anybody, and then we shan’t quarrel.”",Rosa Bud,motive_and_obsession,0.5013,0
10:12,10,12,"“Blame Mr. Neville for it, Sept, and not me,” said the old lady, with stately severity.",Neville Landless,Neville_as_false_suspect,0.4968,5
19:17,19,17,"“I did love him!” cried Rosa, with a flash of anger.",Rosa Bud,motive_and_obsession,0.4965,0
23:3,23,3,"That he must know of Rosa’s abrupt departure, and that he must divine its cause, was not to be doubted. Did he suppose that he had terrified her into silence? or did he suppose that she had imparted to any one—to Mr. Crisparkle himself, for instance—the particulars of his last interview with her? Mr. Crisparkle could not determine this in his mind. He could not but admit, however, as a just man, that it was not, of itself, a crime to fall in love with Rosa, any more than it was a crime to offer to set love above revenge.",Rosa Bud; Mr. Crisparkle,motive_and_obsession,0.4953,1
11:92,11,92,"“Mr. Edwin, this rose of diamonds and rubies delicately set in gold, was a ring belonging to Miss Rosa’s mother. It was removed from her dead hand, in my presence, with such distracted grief as I hope it may never be my lot to contemplate again. Hard man as I am, I am not hard enough for that. See how bright these stones shine!” opening the case. “And yet the eyes that were so much brighter, and that so often looked upon them with a light and a proud heart, have been ashes among ashes, and dust among dust, some years! If I had any imagination (which it is needless to say I have not), I might imagine that the lasting beauty of these stones was almost cruel.”",Edwin Drood; Rosa Bud,motive_and_obsession,0.4935,0
9:16,9,16,"Now, Rosa thought of this unlucky quarrel a great deal, and thought of it with an uncomfortable feeling that she was involved in it, as cause, or consequence, or what not, through being in a false position altogether as to her marriage engagement. Never free from such uneasiness when she was with her affianced husband, it was not likely that she would be free from it when they were apart. To-day, too, she was cast in upon herself, and deprived of the relief of talking freely with her new friend, because the quarrel had been with Helena’s brother, and Helena undisguisedly avoided the subject as a delicate and difficult one to herself. At this critical time, of all times, Rosa’s guardian was a",Rosa Bud; Helena Landless,motive_and_obsession,0.4915,0
13:56,13,56,"Rosa seemed convinced. Perhaps from her own very different point of view of “Jack,” she felt comforted and protected by the interposition of Mr. Grewgious between herself and him.",Rosa Bud,motive_and_obsession,0.4888,3
7:13,7,13,"“Defence?” Mr. Crisparkle repeated. “You are not on your defence, Mr. Neville.”",Neville Landless; Mr. Crisparkle,Neville_as_false_suspect,0.4863,1
13:11,13,11,"If Rosebud in her bower now waited Edwin Drood’s coming with an uneasy heart, Edwin for his part was uneasy too. With far less force of purpose in his composition than the childish beauty, crowned by acclamation fairy queen of Miss Twinkleton’s establishment, he had a conscience, and Mr. Grewgious had pricked it. That gentleman’s steady convictions of what was right and what was wrong in such a case as his, were neither to be frowned aside nor laughed aside. They would not be moved. But for the dinner in Staple Inn, and but for the ring he carried in the breast pocket of his coat, he would have drifted into their wedding-day without another pause for real thought, loosely trusting that all w",Edwin Drood; Rosa Bud,motive_and_obsession,0.4858,2
9:12,9,12,"When she came back (being first closeted with Miss Twinkleton, in order that anything objectionable in her tidings might be retained by that discreet filter), she imparted to Rosa only, what had taken place; dwelling with a flushed cheek on the provocation her brother had received, but almost limiting it to that last gross affront as crowning “some other words between them,” and, out of consideration for her new friend, passing lightly over the fact that the other words had originated in her lover’s taking things in general so very easily. To Rosa direct, she brought a petition from her brother that she would forgive him; and, having delivered it with sisterly earnestness, made an end of the",Rosa Bud,motive_and_obsession,0.4837,2
11:37,11,37,Edwin coloured a little as he explained: “I call Rosa Pussy.”,Edwin Drood; Rosa Bud,motive_and_obsession,0.4776,0
11:65,11,65,"“Mr. Edwin will correct it where it’s wrong,” resumed Mr. Grewgious, “and will throw in a few touches from the life. I dare say it is wrong in many particulars, and wants many touches from the life, for I was born a Chip, and have neither soft sympathies nor soft experiences. I hazard the guess that the true lover’s mind is completely permeated by the beloved object of his affections. I hazard the guess that her dear name is precious to him, cannot be heard or repeated without emotion, and is preserved sacred. If he has any distinguishing appellation of fondness for her, it is reserved for her, and is not for common ears. A name that it would be a privilege to call her by, being alone with h",Edwin Drood,motive_and_obsession,0.4775,0
11:39,11,39,"Edwin glanced at his face, uncertain whether or no he seriously objected to the appellation. But Edwin might as well have glanced at the face of a clock.",Edwin Drood,survival_and_disguise,0.4765,5
23:154,23,154,[Illustration: Facsimile of a page of the manuscript of “The Mystery of Edwin Drood”],Edwin Drood,survival_and_disguise,0.4764,5
13:54,13,54,"“Why, sister Rosa, sister Rosa, what do you see from the turret?” said Edwin, rallying her. “My dear girl!”",Edwin Drood; Rosa Bud,motive_and_obsession,0.4717,7
10:46,10,46,"Before the worthy Minor Canon was quite ready with his argument in reference to this nice distinction, Neville struck in:",Neville Landless,Neville_as_false_suspect,0.4715,5
16:47,16,47,"On the suspicions thus urged and supported, Neville was detained, and re-detained, and the search was pressed on every hand, and Jasper laboured night and day. But nothing more was found. No discovery being made, which proved the lost man to be dead, it at length became necessary to release the person suspected of having made away with him. Neville was set at large. Then, a consequence ensued which Mr. Crisparkle had too well foreseen. Neville must leave the place, for the place shunned him and cast him out. Even had it not been so, the dear old china shepherdess would have worried herself to death with fears for her son, and with general trepidation occasioned by their having such an inmate",John Jasper; Neville Landless; Mr. Crisparkle,Neville_as_false_suspect,0.4705,5
7:70,7,70,"“_We_ are,” said Rosa, answering as if she had spoken. “We are such a ridiculous couple. And we are always quarrelling.”",Rosa Bud,motive_and_obsession,0.4689,7
7:15,7,15,"“Well, Mr. Neville,” was the rejoinder. “What if you leave me to find it out?”",Neville Landless,Neville_as_false_suspect,0.4681,5
17:50,17,50,"“Rally, rally!” urged the other, in a stimulating tone. “Fight for it, Neville!”",Neville Landless,Neville_as_false_suspect,0.4666,5
8:29,8,29,"“And with all mine, Mr. Jasper.” Neville feels it impossible to say less, but would rather not go. He has an impression upon him that he has lost hold of his temper; feels that Edwin Drood’s coolness, so far from being infectious, makes him red-hot.",John Jasper; Neville Landless; Edwin Drood,Neville_as_false_suspect,0.4649,5
23:110,23,110,"“And the young gentleman’s name,” she adds, “was Edwin.”",Edwin Drood,survival_and_disguise,0.4615,5
10:56,10,56,"“She has tried, sir, but uselessly. Husband or no husband, that fellow is incapable of the feeling with which I am inspired towards the beautiful young creature whom he treats like a doll. I say he is as incapable of it, as he is unworthy of her. I say she is sacrificed in being bestowed upon him. I say that I love her, and despise and hate him!” This with a face so flushed, and a gesture so violent, that his sister crossed to his side, and caught his arm, remonstrating, “Neville, Neville!”",Neville Landless,Neville_as_false_suspect,0.4614,5
3:47,3,47,"For the moment there is more of compassion, both for her and for himself, in her affianced husband’s face, than there is of love. He checks the look, and asks: “Shall I take you out for a walk, Rosa dear?”",Rosa Bud,motive_and_obsession,0.461,0
3:87,3,87,"“Well!” says Edwin, after a lengthy silence. “According to custom. We can’t get on, Rosa.”",Edwin Drood; Rosa Bud,motive_and_obsession,0.4602,5
9:2,9,2,"The betrothal of Rosa grew out of the soothing of his year of mental distress by his fast friend and old college companion, Drood: who likewise had been left a widower in his youth. But he, too, went the silent road into which all earthly pilgrimages merge, some sooner, and some later; and thus the young couple had come to be as they were.",Edwin Drood; Rosa Bud,motive_and_obsession,0.4593,0
11:86,11,86,"“And now, Mr. Edwin,” he proceeded, wiping his mouth and hands upon his handkerchief: “to a little piece of business. You received from me, the other day, a certified copy of Miss Rosa’s father’s will. You knew its contents before, but you received it from me as a matter of business. I should have sent it to Mr. Jasper, but for Miss Rosa’s wishing it to come straight to you, in preference.",Edwin Drood; Rosa Bud; John Jasper,motive_and_obsession,0.4591,2
11:104,11,104,"Evidently anxious to get away and be alone, Edwin Drood now resumed his outer clothing, muttering something about time and appointments. The fog was reported no clearer (by the flying waiter, who alighted from a speculative flight in the coffee interest), but he went out into it; and Bazzard, after his manner, “followed” him.",Edwin Drood,survival_and_disguise,0.4584,5
8:37,8,37,"“I suppose, Mr. Neville,” says Edwin, quick to resent the indignant protest against himself in the face of young Landless, which is fully as visible as the portrait, or the fire, or the lamp: “I suppose that if you painted the picture of your lady love—”",Edwin Drood; Neville Landless,Neville_as_false_suspect,0.4581,5
19:52,19,52,"Rosa puts her hands to her temples, and, pushing back her hair, looks wildly and abhorrently at him, as though she were trying to piece together what it is his deep purpose to present to her only in fragments.",Rosa Bud,motive_and_obsession,0.4522,0
8:46,8,46,"Edwin Drood’s face has become quickly and remarkably flushed with the wine; so has the face of Neville Landless. Edwin still sits thrown back in his chair, making that rest of clasped hands for his head.",Edwin Drood; Neville Landless,survival_and_disguise,0.4521,5
20:3,20,3,"Rosa’s mind throughout the last six months had been stormily confused. A half-formed, wholly unexpressed suspicion tossed in it, now heaving itself up, and now sinking into the deep; now gaining palpability, and now losing it. Jasper’s self-absorption in his nephew when he was alive, and his unceasing pursuit of the inquiry how he came by his death, if he were dead, were themes so rife in the place, that no one appeared able to suspect the possibility of foul play at his hands. She had asked herself the question, “Am I so wicked in my thoughts as to conceive a wickedness that others cannot imagine?” Then she had considered, Did the suspicion come of her previous recoiling from him before the",Rosa Bud; John Jasper,opium_and_double_life,0.4516,0
11:75,11,75,"“He may not show,” said Edwin, “all he feels; or he may not—”",Edwin Drood,survival_and_disguise,0.4515,7
23:2,23,2,"False pretence not being in the Minor Canon’s nature, he doubtless displayed openly that he would at any time have revived the subject, and even desired to discuss it. The determined reticence of Jasper, however, was not to be so approached. Impassive, moody, solitary, resolute, so concentrated on one idea, and on its attendant fixed purpose, that he would share it with no fellow-creature, he lived apart from human life. Constantly exercising an Art which brought him into mechanical harmony with others, and which could not have been pursued unless he and they had been in the nicest mechanical relations and unison, it is curious to consider that the spirit of the man was in moral accordance o",John Jasper,opium_and_double_life,0.4488,0
20:50,20,50,"Mr. Grewgious had by this time grown so very mysterious, that Rosa did not know how to go on. While she was thinking about it Mr. Grewgious suddenly jerked out of himself for the second time:",Rosa Bud,motive_and_obsession,0.4477,3
20:66,20,66,Rosa looked at him as if she would have liked him to be the recipient of a thousand dedications.,Rosa Bud,motive_and_obsession,0.4472,0
8:23,8,23,"“Ned, Ned, Ned!” he says; “we must have no more of this. I have overheard high words between you two. Remember, my dear boy, you are almost in the position of host to-night. You belong, as it were, to the place, and in a manner represent it towards a stranger. Mr. Neville is a stranger, and you should respect the obligations of hospitality. And, Mr. Neville,” laying his left hand on the inner shoulder of that young gentleman, and thus walking on between them, hand to shoulder on either side: “you will pardon me; but I appeal to you to govern your temper too. Let there be nothing amiss, and the question is superfluous. We are all three on a good understanding, are we not?”",Neville Landless,Neville_as_false_suspect,0.4469,5
19:32,19,32,"“Rosa, even when my dear boy was affianced to you, I loved you madly; even when I thought his happiness in having you for his wife was certain, I loved you madly; even when I strove to make him more ardently devoted to you, I loved you madly; even when he gave me the picture of your lovely face so carelessly traduced by him, which I feigned to hang always in my sight for his sake, but worshipped in torment for years, I loved you madly; in the distasteful work of the day, in the wakeful misery of the night, girded by sordid realities, or wandering through Paradises and Hells of visions into which I rushed, carrying your image in my arms, I loved you madly.”",Rosa Bud,motive_and_obsession,0.4449,0
7:71,7,71,"“Because we both know we are ridiculous, my dear!” Rosa gave that answer as if it were the most conclusive answer in the world.",Rosa Bud,motive_and_obsession,0.4445,7
22:30,22,30,"“If Neville’s movements are really watched, and if the purpose really is to isolate him from all friends and acquaintance and wear his daily life out grain by grain (which would seem to be the threat to you), does it not appear likely,” said Helena, “that his enemy would in some way communicate with Mr. Tartar to warn him off from Neville? In which case, we might not only know the fact, but might know from Mr. Tartar what the terms of the communication were.”",Neville Landless; Helena Landless,Neville_as_false_suspect,0.4437,7
13:52,13,52,"“A bright idea!” cried Edwin. “The other trustee. Nothing more natural. He comes down, he goes to Jack, he relates what we have agreed upon, and he states our case better than we could. He has already spoken feelingly to you, he has already spoken feelingly to me, and he’ll put the whole thing feelingly to Jack. I am not a coward, Rosa, but to tell you a secret, I am a little afraid of Jack.”",Edwin Drood; Rosa Bud,motive_and_obsession,0.4437,0
20:44,20,44,"“He must be very fond of you,” said Rosa.",Rosa Bud,motive_and_obsession,0.4428,7
2:74,2,74,"“I have been taking opium for a pain—an agony—that sometimes overcomes me. The effects of the medicine steal over me like a blight or a cloud, and pass. You see them in the act of passing; they will be gone directly. They will go all the sooner.”",,opium_and_double_life,0.4428,0
8:11,8,11,"“I am not accountable for Mr. Crisparkle’s mentioning the matter to me, quite openly,” Neville begins.",Neville Landless; Mr. Crisparkle,Neville_as_false_suspect,0.4427,1
13:33,13,33,"“And that is just what I mean; that is just how it was with us,” said Rosa. “You liked me very well, and you had grown used to me, and had grown used to the idea of our being married. You accepted the situation as an inevitable kind of thing, didn’t you? It was to be, you thought, and why discuss or dispute it?”",Rosa Bud,motive_and_obsession,0.4421,7
8:34,8,34,"“I am sorry for that, Mr. Drood.” Neville apologises, with a real intention to apologise; “if I had known I was in the artist’s presence—”",Edwin Drood; Neville Landless,Neville_as_false_suspect,0.4417,5
15:45,15,45,"Mr. Sapsea expressed his opinion that the case had a dark look; in short (and here his eyes rested full on Neville’s countenance), an Un-English complexion. Having made this grand point, he wandered into a denser haze and maze of nonsense than even a mayor might have been expected to disport himself in, and came out of it with the brilliant discovery that to take the life of a fellow-creature was to take something that didn’t belong to you. He wavered whether or no he should at once issue his warrant for the committal of Neville Landless to jail, under circumstances of grave suspicion; and he might have gone so far as to do it but for the indignant protest of the Minor Canon: who undertook f",Neville Landless; Edwin Drood; John Jasper,Neville_as_false_suspect,0.4412,6
10:44,10,44,"“You see,” remarked Mr. Crisparkle, again laying hold of his opportunity, though with a moderate and delicate touch, “you both instinctively acknowledge that Neville did wrong. Then why stop short, and not otherwise acknowledge it?”",Neville Landless; Mr. Crisparkle,Neville_as_false_suspect,0.4411,1
